position,season,week,player_id,projected_weekly_fppg_24,residual,risk_score_24,signal_correction_24,response_adjustment_raw_24,talent_weight_24
QB,2022,1,00-0033077,21.909891390504143,-17.449891390504142,9.035215559582658,0,0,1
QB,2022,1,00-0034857,21.68912117893875,9.790878821061256,5.320577749788072,0,0,1
QB,2022,1,00-0035228,21.250610561417744,-0.6306105614177469,2.398662293974902,0,0,1
QB,2022,1,00-0019596,21.18922224575436,-10.809222245754361,9.649975595581864,0,0,1
QB,2022,1,00-0036355,21.185432142221785,2.0745678577782165,4.8547444601648415,0,0,1
QB,2022,1,00-0033873,20.72349351514595,14.176506484854048,7.819406019600814,0,0,1
QB,2022,1,00-0023459,20.702001051988976,-15.002001051988977,10.318035265441578,0,0,1
QB,2022,1,00-0034796,20.48553771865564,-0.26553771865564,5.723808046249008,0,0,1
QB,2022,1,00-0036442,20.247097653075215,-0.0270976530752165,3.075993456028348,0,0,1
QB,2022,1,00-0029263,19.753825509707475,-1.9538255097074746,8.801230139472029,0,0,1
QB,2022,1,00-0029604,17.67203640054006,1.40796359945994,8.244331980225828,0,0,1
QB,2022,1,00-0026498,17.302825745644373,-9.502825745644373,8.311732853693556,0,0,1
QB,2022,1,00-0026143,16.159122931215734,1.1208770687842637,8.468014880537144,0,0,1
QB,2022,1,00-0029701,16.110809940868485,3.229190059131515,8.440591876925197,0,0,1
QB,2022,1,00-0031280,15.739214901556204,-1.9392149015562037,5.57099284903059,0,0,1
QB,2022,1,00-0032950,15.34273463669134,12.37726536330866,5.214428903626021,0,0,1
QB,2022,1,00-0036389,14.798298450558896,9.921701549441103,3.0333907229603234,0,0,1
QB,2022,1,00-0036971,14.655540592155663,-1.255540592155663,4.731648310878006,0,0,1
QB,2022,1,00-0033106,14.51705687288351,0.9829431271164921,5.693637601354602,0,0,1
QB,2022,1,00-0035710,14.023274975746322,3.996725024253678,2.683248324820209,0,0,1
QB,2022,1,00-0036945,14.002535095360145,-0.36253509536014406,3.724560165503048,0,0,1
QB,2022,1,00-0036972,13.661320339132075,-3.1413203391320756,2.023392055321648,0,0,1
QB,2022,1,00-0034855,13.645399233589178,4.354600766410822,1.684616524497622,0,0,1
QB,2022,1,00-0036898,12.453807473320031,5.0461925266799685,4.866717199887289,0,0,1
QB,2022,1,00-0036212,11.558135981948723,3.2418640180512774,3.648404749842868,0,0,1
QB,2022,1,00-0033869,10.69128263968058,1.9687173603194204,6.106254931596992,0,0,1
QB,2022,1,00-0032268,10.505775001879092,11.294224998120908,5.9856513666943885,0,0,1
QB,2022,1,00-0026158,10.35030185940327,4.009698140596729,6.7349580163932865,0,0,1
QB,2022,1,00-0030565,9.449784893374598,7.750215106625401,5.906276033564949,0,0,1
QB,2022,1,00-0032436,8.951184262115879,-8.451184262115879,3.4665488786652783,0,0,1
QB,2022,1,00-0036264,8.063168026719564,-5.463168026719565,3.092147014732758,0,0,1
QB,2022,1,00-0026197,7.712801236660478,-7.712801236660478,6.285981973879613,0,0,1
QB,2022,1,00-0031503,7.712801236660478,13.947198763339518,4.207674294384367,0,0,1
QB,2022,1,00-0037012,7.712801236660478,2.247198763339523,5.014288151406998,0,0,1
QB,2022,1,00-0035146,6.264294895806809,-3.784294895806809,4.837335451362298,0,0,1
QB,2022,1,00-0033662,5.590080650275651,-3.0300806502756505,5.490811742435409,0,0,1
QB,2022,1,00-0033119,4.0227090848772935,6.857290915122707,3.8738608707263027,0,0,1
QB,2022,2,00-0034857,22.60701606841324,7.072983931586759,4.978967050519442,0,0,0.9438743126816935
QB,2022,2,00-0033873,22.052540998101016,-4.7525409981010185,6.666491246636245,0,0,0.9438743126816935
QB,2022,2,00-0036355,21.379922878888493,2.0800771211115077,4.086486841111876,0,0,0.9438743126816935
QB,2022,2,00-0035228,21.19149082128483,4.688509178715172,2.51505144112362,0,0,0.9438743126816935
QB,2022,2,00-0034796,20.46064355753167,22.159356442468326,5.847633741157765,0,0,0.9438743126816935
QB,2022,2,00-0036442,20.24455724809941,-3.6845572480994093,2.9797756115141043,0,0,0.9438743126816935
QB,2022,2,00-0019596,20.17585766021489,-8.77585766021489,9.879209704722955,0,0,0.9438743126816935
QB,2022,2,00-0029263,19.5706543681724,-8.510654368172398,8.541253149113862,0,0,0.9438743126816935
QB,2022,2,00-0023459,19.29556345336501,-0.9355634533650097,10.896186862211028,0,0,0.9438743126816935
QB,2022,2,00-0029604,17.804032987989427,-8.964032987989427,7.939069465190108,0,0,0.9438743126816935
QB,2022,2,00-0032950,16.503103264501526,11.276896735498475,5.871995517846619,0,0,0.9438743126816935
QB,2022,2,00-0029701,16.413546508912066,-15.533546508912067,6.896217580464348,0,0,0.9438743126816935
QB,2022,2,00-0026498,16.411935831990213,2.4680641680097892,9.787379465415807,0,0,0.9438743126816935
QB,2022,2,00-0026143,16.26420515641426,-14.464205156414259,7.950787614431823,0,0,0.9438743126816935
QB,2022,2,00-0036389,15.728457970819,17.291542029180995,3.3298967308572873,0,0,0.9438743126816935
QB,2022,2,00-0031280,15.557413504535312,3.422586495464685,6.140773445831094,0,0,0.9438743126816935
QB,2022,2,00-0033106,14.60920779105068,11.430792208949322,5.1448703780534455,0,0,0.9438743126816935
QB,2022,2,00-0036971,14.53783366164107,3.96216633835893,2.777127124121476,0,0,0.9438743126816935
