player_id,player_display_name,position,current_team,dynasty_value,year1_fppg,year3_fppg,elite_probability,starter_probability,breakout_probability,confidence,overall_rank
00-0039851,Drake Maye,QB,NE,1308.6220248490802,18.15929001092006,18.524291740139553,0.15408670431196583,0.3081918584035911,0.11987987730272578,Low,1
00-0034857,Josh Allen,QB,BUF,1289.9827914038922,19.124768925675426,19.124768925675426,0.27089711830058477,0.40127465226773473,0.11458604796929224,Low,2
00-0036389,Jalen Hurts,QB,PHI,1267.8223470683745,18.595960036247902,18.595960036247902,0.2517616134269801,0.5085109587813379,0.123761877174656,Low,3
00-0036971,Trevor Lawrence,QB,JAX,1220.203270378184,17.0833197450296,17.254152942479895,0.19346833592303153,0.2909220457671949,0.20456624617074565,Low,4
00-0039918,Caleb Williams,QB,CHI,1218.9381048524458,16.91477762949131,17.25476465984409,0.12400629454062384,0.3125858488695742,0.16410826187166494,Low,5
00-0039732,Bo Nix,QB,DEN,1176.2751942322031,16.46830961614082,16.63299271230223,0.2185259652053431,0.5754932944590282,0.1144498751016364,Low,6
00-0036355,Justin Herbert,QB,LAC,1113.647922162756,16.334585285451084,16.334585285451084,0.30371694594695015,0.5095081871395232,0.24309808343816727,Low,7
00-0039139,Jahmyr Gibbs,RB,DET,1066.692357209153,18.911071653351932,15.474519752389536,0.6338566222658436,0.9612707256829612,0.16146805024558142,Medium,8
00-0038542,Bijan Robinson,RB,ATL,1059.774277771523,19.176955333962873,15.254695126457111,0.7406013104560439,0.9486167813490272,0.16186709155133647,Medium,9
00-0034855,Baker Mayfield,QB,TB,1054.2266025184067,15.430589365890263,15.220932380688051,0.11171593703158876,0.3135136495876387,0.20424628183754567,Low,10
00-0033873,Patrick Mahomes,QB,KC,1047.7133239992097,17.073766186628937,17.073766186628937,0.2314784152188308,0.5515532678282711,0.12996703097519707,Low,11
00-0033106,Jared Goff,QB,DET,1047.4194547861598,15.600767129586677,15.118017008515702,0.0982311846446125,0.3050560599054735,0.16701132461408258,Low,12
00-0040691,Jaxson Dart,QB,NYG,1039.1727760887186,16.26164436018105,16.58850341182069,0.1675636851651165,0.4037088985073664,0.23450401641481808,Low,13
00-0034869,Sam Darnold,QB,SEA,1017.3688651164744,14.371899861507275,14.371899861507275,0.06431076915281739,0.18357027275213408,0.21996791479963929,Low,14
00-0034796,Lamar Jackson,QB,BAL,1015.4314488633136,16.9743460530391,16.9743460530391,0.1615307702221381,0.3900163875007359,0.2251810855882833,Low,15
00-0033077,Dak Prescott,QB,DAL,1009.0568480845532,16.10760103621803,14.379817539150425,0.16136508924315782,0.4671774226533637,0.09576062450232375,Low,16
00-0041027,Jeremiyah Love,RB,ARI,974.5742178267272,15.300439151030428,15.75945232556134,0.2744688582228724,0.8851238763765272,0.4439245738108513,Rookie-Low,17
00-0039075,Puka Nacua,WR,LA,973.8264705764932,14.539056789751507,14.539056789751507,0.8224034779177342,0.9349944451027792,0.10643130155166285,High,18
00-0040122,Ashton Jeanty,RB,LV,958.8279466791575,14.261428141623604,14.261428141623604,0.20797570002040475,0.8604754340540808,0.2291625008636509,Medium,19
00-0041562,Fernando Mendoza,QB,LV,957.0398175178746,15.026296217667491,15.32832477164261,0.11774289891275308,0.24926864192097695,0.15138344724286296,Rookie-Low,20
00-0040676,Cam Ward,QB,TEN,949.9640256673464,13.182318434556322,13.447283035090903,0.0960176686566084,0.22313080382985487,0.294444438301802,Low,21
00-0039150,Bryce Young,QB,CAR,944.9507928392352,13.681276378326595,13.95627003353096,0.05131947335894568,0.15968818594551193,0.28013564891560533,Low,22
00-0038543,Jaxon Smith-Njigba,WR,SEA,937.4809723249896,13.29707385253668,13.29707385253668,0.7534942022914112,0.8008226161770149,0.0798715645954408,High,23
00-0036264,Jordan Love,QB,GB,936.9815982141552,14.312297924720816,14.312297924720816,0.06160021304499454,0.1474435714456381,0.11588722875731594,Low,24
00-0036900,Ja'Marr Chase,WR,CIN,920.4647307205717,14.469795306449871,14.02690768809146,0.7203704783552609,0.8281449303475483,0.07011809502464342,High,25
00-0035710,Daniel Jones,QB,IND,900.6412065109043,15.02228381342938,15.02228381342938,0.09789748793120367,0.2365660266679155,0.1565229681077113,Low,26
00-0039040,De'Von Achane,RB,MIA,891.8424873914357,17.540576847070177,13.102595138649091,0.6435761951467688,0.9512419934008812,0.15226793562975832,Medium,27
00-0039163,C.J. Stroud,QB,HOU,867.5242118123092,13.598113598296113,13.871435681621865,0.07604722084256003,0.20048351113759655,0.17506944376739614,Low,28
00-0036963,Amon-Ra St. Brown,WR,DET,850.7430049046345,13.12725139157673,12.450379087556213,0.6525828325661439,0.8419199309813561,0.03750581188103934,High,29
00-0037744,Trey McBride,TE,ARI,831.009614580865,11.798329032318494,11.798329032318494,0.6566016250440058,0.8968075005165839,0.05472630732607206,High,30
00-0036212,Tua Tagovailoa,QB,ATL,829.788825948516,13.222361937592751,13.222361937592751,0.0268132671966561,0.14546030017163533,0.21158442965186725,Low,31
00-0037834,Brock Purdy,QB,SF,808.7672313691626,16.312876403690645,16.47600516772755,0.0970784225651303,0.3343886666773152,0.17746928239340692,Low,32
00-0041568,Ty Simpson,QB,LA,807.9621883497316,12.685657328558507,12.940639040862534,0.11165946982341138,0.23279341684759192,0.18967340397093413,Rookie-Low,33
00-0026498,Matthew Stafford,QB,LA,758.4075506923416,16.104734588130846,9.73448942409754,0.10257667709618624,0.27406636012643026,0.12033892083407338,Low,34
00-0039923,J.J. McCarthy,QB,MIN,751.3298080434009,14.21263051722574,14.498304390621978,0.05488721221494915,0.18829655548944668,0.22670176818900753,Low,35
00-0036442,Joe Burrow,QB,CIN,742.6818423312935,16.040696342703026,16.040696342703026,0.1083089350042634,0.43090628535391473,0.19699261924523292,Low,36
00-0037247,George Pickens,WR,DAL,740.8366137170118,10.712307094479756,10.712307094479756,0.3363764316213861,0.6607733020683991,0.08434752680134266,High,37
00-0036322,Justin Jefferson,WR,MIN,738.2763605147981,11.733411649711597,10.74447744117121,0.2968122208754631,0.6267104023379949,0.22646052435823127,High,38
00-0040734,TreVeyon Henderson,RB,NE,728.4282991449229,11.878207334888543,10.848821093008834,0.31652827622389496,0.7592920671380764,0.2455796002553068,Medium,39
00-0037240,Jameson Williams,WR,DET,715.1732969459299,10.322853351193856,10.322853351193856,0.0930874243313735,0.6645515069780689,0.1294632959069212,High,40
00-0039910,Jayden Daniels,QB,WAS,714.5031239292604,16.1083112421549,16.432088298122217,0.2609329400417436,0.4312905934757407,0.2650736314811217,Low,41
00-0040784,Quinshon Judkins,RB,CLE,714.1759874052724,12.05058024661882,12.05058024661882,0.19567706128829315,0.4998947702657512,0.19846258396429117,Medium,42
00-0039064,Zay Flowers,WR,BAL,710.7203385652117,10.419593286586563,10.419593286586563,0.237902648555077,0.747103967541587,0.04184386310098842,High,43
00-0040129,Emeka Egbuka,WR,TB,707.5162159331136,9.980801892223877,9.980801892223877,0.07426460677645685,0.5450132069948004,0.187018654381488,High,44
00-0040124,Tetairoa McMillan,WR,CAR,701.2244811723533,9.892045540367336,9.892045540367336,0.07728759968704439,0.460636393287192,0.08462309149511879,High,45
00-0037248,James Cook,RB,BUF,697.0802353044048,17.156872729131223,8.319291883579481,0.6981866293304927,0.9371518544880576,0.06148504624688858,Medium,46
00-0037840,Kyren Williams,RB,LA,689.1202336772261,15.201480277974252,8.947884686294694,0.365503504815406,0.9238051063616032,0.1389502971712123,Medium,47
00-0037239,Chris Olave,WR,NO,685.0079970268378,10.56424207991791,10.44766847873842,0.28313590885551815,0.6071756523148876,0.05193382386646539,High,48
00-0040743,Tyler Shough,QB,NO,682.5459515623633,12.400797213588708,12.524805185724595,0.02870229426802241,0.09023282536269515,0.2316828998397096,Low,49
00-0036223,Jonathan Taylor,RB,IND,673.6762751149148,17.835857376428315,7.491248205383072,0.6961770564428773,0.94424314815864,0.13456674535065738,Medium,50
00-0038117,Wan'Dale Robinson,WR,TEN,655.3376284532981,9.898665244705684,9.898665244705684,0.1571264626352161,0.5033774096239327,0.16430573563146816,High,51
00-0037238,Drake London,WR,ATL,655.2522127807053,11.579057196313338,11.579057196313338,0.3562683568417204,0.6243438010754453,0.06447220953330665,Medium,52
00-0036410,Tee Higgins,WR,CIN,652.3848634190916,11.688970403695642,10.176836929234092,0.32003919965171657,0.6691739954275361,0.02769118132140576,High,53
00-0039915,Ladd McConkey,WR,LAC,641.2691264861808,9.481357892133213,9.481357892133213,0.04099879880069505,0.4425782163569913,0.13958514791744267,High,54
00-0036554,Nico Collins,WR,HOU,634.950124152013,11.194847757118843,9.94679986153173,0.3611871893177159,0.7514967273498213,0.07493934606898876,High,55
00-0041561,Carson Beck,QB,ARI,634.7508429187396,9.98264409331048,10.18329523958602,0.02767030374363118,0.13628121313124733,0.12952536512575233,Rookie-Low,56
00-0036945,Justin Fields,QB,KC,630.8025045562478,12.820039413016492,12.820039413016492,0.1592161965347261,0.34476038354059096,0.25384230646189937,Low,57
00-0039893,Brian Thomas Jr.,WR,JAX,624.0962242156011,9.944730396954888,9.944730396954888,0.1015716923793112,0.5136890557641072,0.2612995833581429,High,58
00-0041565,Drew Allar,QB,PIT,622.6987508334404,9.776872093642062,9.973387222724266,0.02764144658918566,0.1027401903029289,0.14404118675643457,Rookie-Low,59
00-0041512,Jadarian Price,RB,SEA,617.7509775833863,10.484561796689505,10.484561796689505,0.18510487138490467,0.7837257112023253,0.3638381616442809,Rookie-Low,60
00-0038597,Chase Brown,RB,CIN,616.6115315845758,14.344520567874516,7.707844533186278,0.3391210606123077,0.7997913560223769,0.07089259049582979,Medium,61
00-0040666,Omarion Hampton,RB,LAC,615.009383843047,13.937487857370202,13.273374229020746,0.3200685435228091,0.6924895974406698,0.14059891026780463,Medium,62
00-0039338,Brock Bowers,TE,LV,613.6112739627048,10.502494074873727,10.76505642674557,0.3882705170304024,0.6287235939991077,0.08830754790902923,Medium,63
00-0040663,Harold Fannin Jr.,TE,CLE,609.3428403681903,8.652958161301907,9.091014168217814,0.3384425383531153,0.7396953323846037,0.04142359104591559,High,64
00-0036358,CeeDee Lamb,WR,DAL,605.0647354320951,11.56826615205397,10.3484745707871,0.4578810181219962,0.8412370031709686,0.13419575041705337,Medium,65
00-0032268,Marcus Mariota,QB,WAS,603.2582057419271,12.95408459467137,11.77629170609961,0.1397797351319537,0.31921028790128514,0.34600059045280934,Low,66
00-0038120,Breece Hall,RB,NYJ,600.1586366771493,12.442461710773337,8.597950175893656,0.08934169454992207,0.6923794942804411,0.10361053222915469,Medium,67
00-0041056,Cade Klubnik,QB,NYJ,590.6313879224399,9.273388659410614,9.459783771464767,0.05050365218843448,0.15719239784583275,0.17663813220880625,Rookie-Low,68
00-0033119,Jacoby Brissett,QB,ARI,581.7482076030067,10.87753191843462,9.2846684562263,0.03939025164996553,0.09748234360317516,0.17152185482551904,Low,69
00-0037664,Alec Pierce,WR,IND,577.3350158417212,9.357494487771955,9.166859833782688,0.06771282959059725,0.3436313941386807,0.1312180400518086,High,70
00-0038544,Quentin Johnston,WR,LAC,577.2478091123329,9.70749036804858,9.70749036804858,0.18442336734683148,0.6355079387756286,0.08460152089160147,Medium,71
00-0036970,Kyle Pitts,TE,ATL,576.3933287287182,8.131075297622107,8.131075297622107,0.3273535115064778,0.5092220659553626,0.05702893834592416,High,72
00-0040128,Tyler Warren,TE,IND,571.6768519627153,8.064540822269247,8.064540822269247,0.3447978136744374,0.6062846536794092,0.17223513152233513,High,73
00-0038134,Kenneth Walker III,RB,KC,570.8506585135794,12.352884100557418,7.505564386314525,0.2094705950853973,0.7637462641751469,0.10907100785578444,Medium,74
