position,season,week,player_id,projected_weekly_fppg_232,residual,risk_score_232,signal_correction_232,pid_correction_232
QB,2022,1,00-0033077,21.909891390504143,-17.449891390504142,2.0684932208876323,0,0
QB,2022,1,00-0034857,21.68912117893875,9.790878821061256,1.2890959504259545,0,0
QB,2022,1,00-0035228,21.250610561417744,-0.6306105614177469,0.9034240545260592,0,0
QB,2022,1,00-0019596,21.18922224575436,-10.809222245754361,1.1742866972801185,0,0
QB,2022,1,00-0036355,21.185432142221785,2.0745678577782165,1.7186429742320863,0,0
QB,2022,1,00-0033873,20.72349351514595,14.176506484854048,1.4661896796985006,0,0
QB,2022,1,00-0023459,20.702001051988976,-15.002001051988977,2.037234844645987,0,0
QB,2022,1,00-0034796,20.48553771865564,-0.26553771865564,1.725911801216958,0,0
QB,2022,1,00-0036442,20.247097653075215,-0.0270976530752165,1.2860246933053214,0,0
QB,2022,1,00-0029263,19.753825509707475,-1.9538255097074746,0.8996999355890382,0,0
QB,2022,1,00-0029604,17.67203640054006,1.40796359945994,1.1755174200098044,0,0
QB,2022,1,00-0026498,17.302825745644373,-9.502825745644373,1.3906025554358066,0,0
QB,2022,1,00-0026143,16.159122931215734,1.1208770687842637,2.0043657080508495,0,0
QB,2022,1,00-0029701,16.110809940868485,3.229190059131515,1.9962679005778023,0,0
QB,2022,1,00-0031280,15.739214901556204,-1.9392149015562037,0.8731704781516991,0,0
QB,2022,1,00-0032950,15.34273463669134,12.37726536330866,0.8745692664561168,0,0
QB,2022,1,00-0036389,14.798298450558896,9.921701549441103,0.919250648505096,0,0
QB,2022,1,00-0036971,14.655540592155663,-1.255540592155663,3.582542470285984,0,0
QB,2022,1,00-0033106,14.51705687288351,0.9829431271164921,1.6840490697078292,0,0
QB,2022,1,00-0035710,14.023274975746322,3.996725024253678,2.09652612973111,0,0
QB,2022,1,00-0036945,14.002535095360145,-0.36253509536014406,2.063905826631644,0,0
QB,2022,1,00-0036972,13.661320339132075,-3.1413203391320756,0.9160296409198878,0,0
QB,2022,1,00-0034855,13.645399233589178,4.354600766410822,1.1368286412161872,0,0
QB,2022,1,00-0036898,12.453807473320031,5.0461925266799685,2.395648586636726,0,0
QB,2022,1,00-0036212,11.558135981948723,3.2418640180512774,2.361126067422083,0,0
QB,2022,1,00-0033869,10.69128263968058,1.9687173603194204,3.7659229418808264,0,0
QB,2022,1,00-0032268,10.505775001879092,11.294224998120908,3.4911576829590683,0,0
QB,2022,1,00-0026158,10.35030185940327,4.009698140596729,2.5948372726319784,0,0
QB,2022,1,00-0030565,9.449784893374598,7.750215106625401,2.1263620762151096,0,0
QB,2022,1,00-0032436,8.951184262115879,-8.451184262115879,1.683309391325558,0,0
QB,2022,1,00-0036264,8.063168026719564,-5.463168026719565,1.9246202496822409,0,0
QB,2022,1,00-0026197,7.712801236660478,-7.712801236660478,3.2008614792154217,0,0
QB,2022,1,00-0031503,7.712801236660478,13.947198763339518,2.8303701167364923,0,0
QB,2022,1,00-0037012,7.712801236660478,2.247198763339523,2.1707756502433435,0,0
QB,2022,1,00-0035146,6.264294895806809,-3.784294895806809,2.7481368098855254,0,0
QB,2022,1,00-0033662,5.590080650275651,-3.0300806502756505,3.254779482325149,0,0
QB,2022,1,00-0033119,4.0227090848772935,6.857290915122707,3.685710287170589,0,0
QB,2022,2,00-0034857,22.60701606841324,7.072983931586759,1.3873250832616226,0,0
QB,2022,2,00-0033873,22.052540998101016,-4.7525409981010185,1.0064189533490158,0,0
QB,2022,2,00-0036355,21.379922878888493,2.0800771211115077,1.2925380473363708,0,0
QB,2022,2,00-0035228,21.19149082128483,4.688509178715172,1.1829456102842286,0,-0
QB,2022,2,00-0034796,20.46064355753167,22.159356442468326,2.2859131012006357,0,-0
QB,2022,2,00-0036442,20.24455724809941,-3.6845572480994093,1.3850947352929106,0,-0
QB,2022,2,00-0019596,20.17585766021489,-8.77585766021489,2.328229329869625,0,-0
QB,2022,2,00-0029263,19.5706543681724,-8.510654368172398,1.5017900191273317,0,-0
QB,2022,2,00-0023459,19.29556345336501,-0.9355634533650097,3.518832382148253,0,-0
QB,2022,2,00-0029604,17.804032987989427,-8.964032987989427,1.641471634721885,0,0
QB,2022,2,00-0032950,16.503103264501526,11.276896735498475,2.0056201301829524,0,0
QB,2022,2,00-0029701,16.413546508912066,-15.533546508912067,1.1549776106554,0,0
QB,2022,2,00-0026498,16.411935831990213,2.4680641680097892,3.621353354615714,0,-0
QB,2022,2,00-0026143,16.26420515641426,-14.464205156414259,2.192330852154918,0,0
QB,2022,2,00-0036389,15.728457970819,17.291542029180995,1.446412048556004,0,0
QB,2022,2,00-0031280,15.557413504535312,3.422586495464685,1.9554895175640792,0,-0
QB,2022,2,00-0033106,14.60920779105068,11.430792208949322,1.5727330949391298,0,0
QB,2022,2,00-0036971,14.53783366164107,3.96216633835893,1.7533902037304665,0,-0
QB,2022,2,00-0035710,14.397967946770104,-1.257967946770103,1.8878799434137723,0,0
QB,2022,2,00-0034855,14.053643055440192,-0.7536430554401914,0.38469728031596434,0,0
QB,2022,2,00-0036945,13.968547430170132,-5.168547430170131,1.1356318730937864,0,-0
QB,2022,2,00-0036972,13.366821557338444,-0.686821557338444,1.3080439218525863,0,-0
QB,2022,2,00-0031345,13.017385888525467,3.6426141114745327,2.149611024834537,0,0
QB,2022,2,00-0036898,12.92688802269628,-5.746888022696281,0.5445185529896049,0,0
QB,2022,2,00-0036212,11.86206073364103,26.997939266358976,0.8772799552458116,0,0
QB,2022,2,00-0032268,11.564608595452928,3.875391404547072,2.912991029075489,0,0
QB,2022,2,00-0033869,10.875849892210526,0.5441501077894717,2.077880344953885,0,0
QB,2022,2,00-0026158,10.726211060084212,18.153788939915792,1.318307723040075,0,0
QB,2022,2,00-0030565,10.17636755962073,-4.096367559620729,4.38294242321462,0,0
QB,2022,2,00-0038128,10.095064409140695,-8.255064409140696,0.9374509626651032,0,0
QB,2022,2,00-0031503,9.020351120723555,-1.3803511207235557,3.3710422535477544,0,0
QB,2022,2,00-0032436,8.158885737542516,-7.158885737542516,2.949689244390607,0,-0
QB,2022,2,00-0037012,7.923476120723557,-5.423476120723557,3.0429427155634925,0,0
QB,2022,2,00-0028986,7.712801236660478,-7.5128012366604775,2.794109993338849,0,0
QB,2022,2,00-0033662,5.306010589312309,8.29398941068769,3.3181593381519816,0,-0
QB,2022,2,00-0033119,4.665580108170047,10.794419891829953,4.981118014177433,0,0
QB,2022,3,00-0034857,23.356160957887734,5.343839042112265,2.2390003104636147,0,0
QB,2022,3,00-0034796,22.535749396407702,16.8842506035923,9.277516675076889,0,0
QB,2022,3,00-0033873,21.73158848105609,-4.651588481056091,5.841268265677999,0,0
QB,2022,3,00-0035228,21.625496081151915,-8.265496081151916,2.594604661302586,0,0
QB,2022,3,00-0036355,21.5931636155552,-7.013163615555198,0.9291748506288107,0,0
QB,2022,3,00-0036442,19.898891843123614,3.1011081568763856,2.312702121949571,0,-0
QB,2022,3,00-0019596,19.25811807467542,-4.518118074675419,2.6922929929503736,0,0
QB,2022,3,00-0023459,19.076000854741043,-2.9760008547410415,4.236182860875513,0,0
QB,2022,3,00-0029263,18.755608226637325,-9.695608226637324,3.1101583258960295,0,-0
QB,2022,3,00-0032950,17.669096892311714,-7.029096892311713,2.1137337647120122,0,0
QB,2022,3,00-0036389,17.4367424910791,10.1632575089209,3.6302447841989625,0,0
