season,week,game_id,defense,blitz_rate_direct,avg_box
2024,1,2024_01_ARI_BUF,ARI,0.0875,4.6375
2024,1,2024_01_ARI_BUF,BUF,0.14864864864864866,5.108108108108108
2024,1,2024_01_BAL_KC,BAL,0.07246376811594203,4.579710144927536
2024,1,2024_01_BAL_KC,KC,0.1595744680851064,4.882978723404255
2024,1,2024_01_CAR_NO,CAR,0.1375,4.725
2024,1,2024_01_CAR_NO,NO,0.2077922077922078,4.4935064935064934
2024,1,2024_01_DAL_CLE,CLE,0.07228915662650602,4.337349397590361
2024,1,2024_01_DAL_CLE,DAL,0.16494845360824742,4.505154639175258
2024,1,2024_01_DEN_SEA,DEN,0.13095238095238096,4.654761904761905
2024,1,2024_01_DEN_SEA,SEA,0.17391304347826086,4.673913043478261
2024,1,2024_01_GB_PHI,GB,0.10752688172043011,4.989247311827957
2024,1,2024_01_GB_PHI,PHI,0.16470588235294117,4.635294117647059
2024,1,2024_01_HOU_IND,HOU,0.03389830508474576,4.4576271186440675
2024,1,2024_01_HOU_IND,IND,0.11702127659574468,4.776595744680851
2024,1,2024_01_JAX_MIA,JAX,0.10588235294117647,4.964705882352941
2024,1,2024_01_JAX_MIA,MIA,0.12857142857142856,4.4
2024,1,2024_01_LA_DET,DET,0.09782608695652174,5.489130434782608
2024,1,2024_01_LA_DET,LA,0.06493506493506493,4.935064935064935
2024,1,2024_01_LV_LAC,LAC,0.14864864864864866,4.824324324324325
2024,1,2024_01_LV_LAC,LV,0.12,4.466666666666667
2024,1,2024_01_MIN_NYG,MIN,0.20689655172413793,4.793103448275862
2024,1,2024_01_MIN_NYG,NYG,0.07462686567164178,4.8059701492537314
2024,1,2024_01_NE_CIN,CIN,0.08860759493670886,4.987341772151899
2024,1,2024_01_NE_CIN,NE,0.19672131147540983,5.098360655737705
2024,1,2024_01_NYJ_SF,NYJ,0.09302325581395349,5.27906976744186
2024,1,2024_01_NYJ_SF,SF,0.0625,4.859375
2024,1,2024_01_PIT_ATL,ATL,0.07228915662650602,5.313253012048193
2024,1,2024_01_PIT_ATL,PIT,0.04411764705882353,5.014705882352941
2024,1,2024_01_TEN_CHI,CHI,0.08536585365853659,4.304878048780488
2024,1,2024_01_TEN_CHI,TEN,0.0958904109589041,4.178082191780822
2024,1,2024_01_WAS_TB,TB,0.3108108108108108,4.756756756756757
2024,1,2024_01_WAS_TB,WAS,0.20253164556962025,4.582278481012659
2024,2,2024_02_ATL_PHI,ATL,0.14285714285714285,5.5476190476190474
2024,2,2024_02_ATL_PHI,PHI,0.1111111111111111,5.236111111111111
2024,2,2024_02_BUF_MIA,BUF,0.0449438202247191,4.977528089887641
2024,2,2024_02_BUF_MIA,MIA,0.15517241379310345,4.5
2024,2,2024_02_CHI_HOU,CHI,0.125,4.55
2024,2,2024_02_CHI_HOU,HOU,0.2222222222222222,4.4
2024,2,2024_02_CIN_KC,CIN,0.07692307692307693,5.128205128205129
2024,2,2024_02_CIN_KC,KC,0.21518987341772153,5.075949367088608
2024,2,2024_02_CLE_JAX,CLE,0.22972972972972974,4.8108108108108105
2024,2,2024_02_CLE_JAX,JAX,0.12790697674418605,5.046511627906977
2024,2,2024_02_IND_GB,GB,0.058823529411764705,4.676470588235294
2024,2,2024_02_IND_GB,IND,0.0975609756097561,5.695121951219512
2024,2,2024_02_LAC_CAR,CAR,0.08860759493670886,5.506329113924051
2024,2,2024_02_LAC_CAR,LAC,0.09523809523809523,4.444444444444445
2024,2,2024_02_LA_ARI,ARI,0.16666666666666666,4.7727272727272725
2024,2,2024_02_LA_ARI,LA,0.05128205128205128,5.346153846153846
2024,2,2024_02_LV_BAL,BAL,0.17721518987341772,4.468354430379747
2024,2,2024_02_LV_BAL,LV,0.11627906976744186,4.209302325581396
2024,2,2024_02_NO_DAL,DAL,0.08333333333333333,5.263888888888889
2024,2,2024_02_NO_DAL,NO,0.09411764705882353,4.105882352941176
2024,2,2024_02_NYG_WAS,NYG,0.14772727272727273,4.704545454545454
2024,2,2024_02_NYG_WAS,WAS,0.22388059701492538,5.223880597014926
2024,2,2024_02_NYJ_TEN,NYJ,0.0625,5.1375
2024,2,2024_02_NYJ_TEN,TEN,0.125,4.722222222222222
